category,old_stem,new_stem,registry_id,plot_type,data_source
GDP,W GDP real annual Level,W GDP real annual Level,world_gdp_development,timeseries,WDI
GDP,W GDP real annual Growth,W GDP real annual Growth,world_gdp_growth,timeseries,WDI
GDP,W GDP p.c. (PPP) real annual Level World Regions,W GDP p.c. (PPP) real annual Level World Regions,world_gdp_by_region,multi_line,WDI
GDP,W GDP p.c. real annual Growth World Regions,W GDP p.c. real annual Growth World Regions,world_gdp_by_region_growth,multi_line,WDI
GDP,W GDP p.c. (PPP) real annual Level High Income countries,HIC GDP p.c. (PPP) real annual Level,high_income_gdppc_development,multi_line,WDI
GDP,W GDP p.c. (PPP) real annual Level Upper Middle Income countries,UMC GDP p.c. (PPP) real annual Level,upper_middle_gdppc_development,multi_line,WDI
GDP,W GDP p.c. (PPP) real annual Level Lower Middle Income countries,LMC GDP p.c. (PPP) real annual Level,lower_middle_gdppc_development,multi_line,WDI
GDP,W GDP p.c. (PPP) real annual Level Low Income countries,LIC GDP p.c. (PPP) real annual Level,low_income_gdppc_development,multi_line,WDI
GDP,W GDP p.c. real annual Growth High Income countries,HIC GDP p.c. real annual Growth,high_income_gdppc_growth,multi_line,WDI
GDP,W GDP p.c. real annual Growth Upper Middle Income countries,UMC GDP p.c. real annual Growth,upper_middle_gdppc_growth,multi_line,WDI
GDP,W GDP p.c. real annual Growth Lower Middle Income countries,LMC GDP p.c. real annual Growth,lower_middle_gdppc_growth,multi_line,WDI
GDP,W GDP p.c. real annual Growth Low Income countries,LIC GDP p.c. real annual Growth,low_income_gdppc_growth,multi_line,WDI
GDP,Germany Real GDP Development,GER GDP real annual Level WDI,germany_gdp_development,timeseries,WDI
GDP,Germany Real GDP Growth,GER GDP real annual Growth WDI,germany_gdp_growth,timeseries,WDI
GDP,GER BIP annual development - chain index,GER BIP annual level - chain index,ger_bip_annual_development,timeseries,GENESIS 81000-0001
GDP,GER BIP annual growth - chain index,GER BIP annual growth - chain index,ger_bip_annual_growth,timeseries,GENESIS 81000-0001
GDP,GER BIP annual - chain-linked volume data (bn EUR),GER BIP annual - chain-linked volume data (bn EUR),ger_bip_annual_volume,timeseries,GENESIS 81000-0001
GDP,GER Nominal GDP Development,GER BIP nominal annual,ger_nominal_gdp,timeseries,GENESIS 81000-0001
GDP,GER BIP quarterly - chain index,GER BIP quarterly level - chain index,ger_bip_quarterly_development,timeseries,GENESIS 81000-0002
GDP,GER BIP quarterly - chain-linked volume data (bn EUR),GER BIP quarterly - chain-linked volume data (bn EUR),ger_bip_quarterly_volume_orig,timeseries,GENESIS 81000-0002
GDP,GER BIP quarterly - chain-linked volume data (bn EUR) - seasonal and calendar adjusted,GER BIP quarterly volume,ger_bip_quarterly_volume,timeseries,GENESIS 81000-0002
GDP,GER BIP quarterly growth - chain index,GER BIP quarterly growth,ger_bip_quarterly_growth,timeseries,GENESIS 81000-0002
GDP,GER Nominal GDP by State,GER BIP nominal by state,ger_nominal_gdp_state,bar_horizontal,GENESIS 82111-0010
GDP,GER Nominal GDP by State per Capita,GER Nominal GDP by State per Capita,ger_nominal_gdp_state_per_capita,bar_horizontal,GENESIS 82111-0010
GDP,GER Nominal GDP by State per Capita Map,GER Nominal GDP by State per Capita Map,ger_nominal_gdp_state_per_capita_map,choropleth,GENESIS 82111-0010
Employment,GER employed and unemployed persons,GER employed unemployed,ger_employed_unemployed,dual_axis,GENESIS 13321-0002
Employment,GER employment rate,GER employment rate,ger_employment_rate,timeseries,GENESIS 13321-0006/12411-0001
Employment,GER unemployment rate,GER unemployment rate,ger_unemployment_rate,timeseries,GENESIS 13211-0002
Employment,,GER registered unemployed monthly,ger_registered_unemployed_monthly,timeseries,GENESIS 13211-0002
Employment,GER number of employed persons (seasonal adjusted),GER employed persons quarterly seasonally adjusted,ger_employed_seasonal,timeseries,GENESIS 13321-0002
Employment,GER unemployment rate (seasonally adjusted),GER unemployed persons quarterly seasonally adjusted,ger_unemployment_seasonal,timeseries,GENESIS 13321-0006
Employment,GER unemployment rate civilian and registered,GER unemployment rate civilian and registered,ger_unemployment_civilian,timeseries,GENESIS 13211-0001
Employment,GER number of unemployed persons west east,GER unemployed west east,ger_unemployed_west_east,multi_line,GENESIS 13321-0002
Employment,GER unemployed rate and short term employee,GER unemployed rate and short term employee,employment_short_time,dual_axis,GENESIS 13211-0002/81000-0015
Employment,GER number of employed persons and gdp by quarter (seasonal adjusted),GER number of employed persons and gdp by quarter (seasonal adjusted),ger_employed_gdp_quarterly,dual_axis,GENESIS 13321-0002/81000-0002
Prices,GER Consumer Price Index,GER Consumer Price Index,ger_cpi,timeseries,GENESIS 61111-0002
Prices,GER development of inflation rate,GER inflation rate monthly,ger_inflation_rate,timeseries,GENESIS 61111-0002
Prices,Survey on development of interest rate and german consumer-pric-index,Survey on development of interest rate and german consumer-pric-index,ger_survey_interest_cpi,multi_line,Mixed
Prices,Development of interest rates, german house-price-index and dax index,Development of interest rates, german house-price-index and dax index,ger_interest_rate_hpi_dax,multi_line,Mixed
Prices,Long term returns of top bottom 5 government bonds,Long term returns of top bottom 5 government bonds,ger_govt_bond_yields,multi_line,Eurostat
Trade,World Export of Goods and Services,W Exports of Goods and Services real,trade_world_exports,timeseries,WDI
